series_id,year,period,value,footnote_codes,date,series_title
LNU02049603,2006,M13,64656,,12/31/06,"(Unadj) Employment Level - Women, Nonveterans, 18 years and over"
LNU00049603,2006,M13,112069,,12/31/06,"(Unadj) Population Level - Women, Nonveterans, 18 years and over"
LNU00049602,2006,M13,84518,,12/31/06,"(Unadj) Population Level - Men, Nonveterans, 18 years and over"
LNU04049603,2006,M13,4.4,,12/31/06,"(Unadj) Unemployment Rate - Women, Nonveterans, 18 years and over"
LNU04049602,2006,M13,4.5,,12/31/06,"(Unadj) Unemployment Rate - Men, Nonveterans, 18 years and over"
LNU03049602,2006,M13,3052,,12/31/06,"(Unadj) Unemployment Level - Men, Nonveterans, 18 years and over"
LNU04049601,2006,M13,4.4,,12/31/06,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over"
LNU05049603,2006,M13,44459,,12/31/06,"(Unadj) Not in Labor Force - Women, Nonveterans, 18 years and over"
LNU01049601,2006,M13,135639,,12/31/06,"(Unadj) Civilian Labor Force Level - Nonveterans, 18 years and over"
LNU03049601,2006,M13,6006,,12/31/06,"(Unadj) Unemployment Level - Nonveterans, 18 years and over"
LNU02049601,2006,M13,129633,,12/31/06,"(Unadj) Employment Level - Nonveterans, 18 years and over"
LNU02049602,2006,M13,64977,,12/31/06,"(Unadj) Employment Level - Men, Nonveterans, 18 years and over"
LNU05049601,2006,M13,60948,,12/31/06,"(Unadj) Not in Labor Force - Nonveterans, 18 years and over"
LNU00049601,2006,M13,196587,,12/31/06,"(Unadj) Population Level - Nonveterans, 18 years and over"
LNU01049602,2006,M13,68029,,12/31/06,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU03049603,2006,M13,2954,,12/31/06,"(Unadj) Unemployment Level - Women, Nonveterans, 18 years and over"
LNU05049602,2006,M13,16489,,12/31/06,"(Unadj) Not in Labor Force - Men, Nonveterans, 18 years and over"
LNU01049603,2006,M13,67610,,12/31/06,"(Unadj) Civilian Labor Force Level - Women, Nonveterans, 18 years and over"
LNU01049603,2007,M13,68487,,12/31/07,"(Unadj) Civilian Labor Force Level - Women, Nonveterans, 18 years and over"
LNU03049602,2007,M13,3198,,12/31/07,"(Unadj) Unemployment Level - Men, Nonveterans, 18 years and over"
LNU05049602,2007,M13,17199,,12/31/07,"(Unadj) Not in Labor Force - Men, Nonveterans, 18 years and over"
LNU00049603,2007,M13,113449,,12/31/07,"(Unadj) Population Level - Women, Nonveterans, 18 years and over"
LNU00049602,2007,M13,86563,,12/31/07,"(Unadj) Population Level - Men, Nonveterans, 18 years and over"
LNU01049601,2007,M13,137851,,12/31/07,"(Unadj) Civilian Labor Force Level - Nonveterans, 18 years and over"
