series_id,year,period,value,footnote_codes,date,series_title
LNU01049602,2006,M05,67662,"",2006-05-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M06,68332,"",2006-06-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M07,68750,"",2006-07-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M08,68764,"",2006-08-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M09,68350,"",2006-09-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M10,68555,"",2006-10-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M11,68605,"",2006-11-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2006,M12,68652,"",2006-12-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M01,68729,"",2007-01-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M02,68573,"",2007-02-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M03,68662,"",2007-03-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M04,68742,"",2007-04-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M05,69009,"",2007-05-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M06,69882,"",2007-06-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M07,70273,"",2007-07-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M08,69718,"",2007-08-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
LNU01049602,2007,M09,69468,"",2007-09-01,"(Unadj) Civilian Labor Force Level - Men, Nonveterans, 18 years and over"
