series_id,year,period,value,footnote_codes,date,series_title
LNU04032238,2003,M13,3.5,,12/31/03,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032231,2003,M13,9.3,,12/31/03,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032235,2003,M13,6,,12/31/03,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032237,2003,M13,6.8,,12/31/03,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032239,2003,M13,8.2,,12/31/03,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032241,2003,M13,8.7,,12/31/03,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032232,2003,M13,6.6,,12/31/03,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032234,2003,M13,6.1,,12/31/03,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032242,2003,M13,5.7,,12/31/03,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032240,2003,M13,3.6,,12/31/03,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032236,2003,M13,5.3,,12/31/03,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032243,2003,M13,2.8,,12/31/03,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032233,2003,M13,6.9,,12/31/03,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032237,2004,M13,5.7,,12/31/04,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032239,2004,M13,6.8,,12/31/04,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032238,2004,M13,3.6,,12/31/04,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032233,2004,M13,5.5,,12/31/04,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032243,2004,M13,2.6,,12/31/04,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032235,2004,M13,5.8,,12/31/04,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032242,2004,M13,5.3,,12/31/04,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032231,2004,M13,8.4,,12/31/04,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032232,2004,M13,5.7,,12/31/04,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032240,2004,M13,3.4,,12/31/04,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032234,2004,M13,5.9,,12/31/04,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032241,2004,M13,8.3,,12/31/04,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032236,2004,M13,4.4,,12/31/04,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032241,2005,M13,7.8,,12/31/05,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032240,2005,M13,3.4,,12/31/05,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032235,2005,M13,5.4,,12/31/05,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032233,2005,M13,4.6,,12/31/05,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032243,2005,M13,2.5,,12/31/05,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032239,2005,M13,6.2,,12/31/05,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032231,2005,M13,7.4,,12/31/05,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032242,2005,M13,4.8,,12/31/05,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032236,2005,M13,4.1,,12/31/05,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032238,2005,M13,2.9,,12/31/05,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032232,2005,M13,4.9,,12/31/05,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032234,2005,M13,5.3,,12/31/05,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032237,2005,M13,5,,12/31/05,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032242,2006,M13,4.7,,12/31/06,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032235,2006,M13,4.9,,12/31/06,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032233,2006,M13,3.9,,12/31/06,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032239,2006,M13,5.6,,12/31/06,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032238,2006,M13,2.7,,12/31/06,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032243,2006,M13,2.3,,12/31/06,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032236,2006,M13,4,,12/31/06,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032231,2006,M13,6.7,,12/31/06,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032237,2006,M13,3.7,,12/31/06,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032234,2006,M13,4.8,,12/31/06,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032241,2006,M13,7.3,,12/31/06,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032232,2006,M13,4.2,,12/31/06,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032240,2006,M13,3,,12/31/06,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032243,2007,M13,2.3,,12/31/07,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032237,2007,M13,3.6,,12/31/07,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032241,2007,M13,7.4,,12/31/07,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032235,2007,M13,4.7,,12/31/07,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032236,2007,M13,3.9,,12/31/07,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032242,2007,M13,3.9,,12/31/07,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032232,2007,M13,4.3,,12/31/07,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032239,2007,M13,5.3,,12/31/07,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032240,2007,M13,3,,12/31/07,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032231,2007,M13,7.4,,12/31/07,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032234,2007,M13,4.5,,12/31/07,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032238,2007,M13,3,,12/31/07,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032233,2007,M13,4.2,,12/31/07,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032236,2008,M13,5.1,,12/31/08,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032234,2008,M13,6,,12/31/08,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032239,2008,M13,6.5,,12/31/08,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032240,2008,M13,3.5,,12/31/08,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032237,2008,M13,5,,12/31/08,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032231,2008,M13,10.6,,12/31/08,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032233,2008,M13,5.6,,12/31/08,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032243,2008,M13,2.4,,12/31/08,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032235,2008,M13,5.9,,12/31/08,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032232,2008,M13,5.8,,12/31/08,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032242,2008,M13,5.3,,12/31/08,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032241,2008,M13,8.6,,12/31/08,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032238,2008,M13,3.9,,12/31/08,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032237,2009,M13,9.2,,12/31/09,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032233,2009,M13,12.9,,12/31/09,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
