series_id,year,period,value,footnote_codes,date,series_title
LNU04049604,2008,M13,7.3,"",2008-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2010,M13,12.3,"",2010-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2011,M13,11.2,"",2011-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2012,M13,10,"",2012-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2013,M13,8.8,"",2013-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2015,M13,6.4,"",2015-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2006,M13,5,"",2006-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2007,M13,5.4,"",2007-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2009,M13,11.9,"",2009-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2014,M13,7.2,"",2014-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049604,2016,M13,5.6,"",2016-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Hispanic or Latino"
LNU04049607,2008,M13,5,"",2008-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2009,M13,8.3,"",2009-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2012,M13,7,"",2012-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2014,M13,5.1,"",2014-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2016,M13,4.1,"",2016-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2006,M13,3.9,"",2006-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2007,M13,3.9,"",2007-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2010,M13,8.5,"",2010-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2011,M13,7.7,"",2011-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2013,M13,6.3,"",2013-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049607,2015,M13,4.5,"",2015-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, White"
LNU04049610,2008,M13,9.9,"",2008-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2009,M13,14.7,"",2009-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2010,M13,15.8,"",2010-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2012,M13,13.7,"",2012-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2014,M13,11.3,"",2014-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2015,M13,9.4,"",2015-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2016,M13,8.4,"",2016-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2006,M13,8.7,"",2006-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2007,M13,8,"",2007-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2011,M13,15.8,"",2011-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049610,2013,M13,13,"",2013-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Black or African American"
LNU04049613,2006,M13,2.9,"",2006-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2007,M13,3.1,"",2007-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2012,M13,5.8,"",2012-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2016,M13,3.6,"",2016-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2008,M13,3.9,"",2008-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2009,M13,7.2,"",2009-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2010,M13,7.4,"",2010-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2011,M13,7,"",2011-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2013,M13,5.1,"",2013-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2014,M13,4.9,"",2014-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
LNU04049613,2015,M13,3.8,"",2015-12-31,"(Unadj) Unemployment Rate - Nonveterans, 18 years and over, Asian"
