Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2003,AL,Alabama,"45,03,491",2120238,1992742,93.9867128124,127496,6.01328718757,15.06,6.37,7.97,11.52,18.33,27.23
2003,AK,Alaska,"6,48,414",331673,305725,92.176631803,25948,7.82336819699,19.51,8.38,11.18,16.55,24.64,34.00
2003,AZ,Arizona,"55,10,364",2736001,2578855,94.2563617484,157146,5.74363825159,16.14,6.68,8.63,12.76,19.54,28.87
2003,AR,Arkansas,"27,24,816",1271706,1196303,94.0707207483,75403,5.92927925165,13.72,6.41,7.95,10.99,16.32,23.41
2003,CA,California,"3,52,53,159",17277624,16102841,93.2005523445,1174783,6.79944765553,19.54,7.52,9.46,14.99,24.28,36.62
2003,CO,Colorado,"45,28,732",2486232,2338206,94.0461710733,148026,5.95382892666,18.50,7.58,10.04,14.82,22.33,33.67
2003,CT,Connecticut,"34,84,336",1784258,1687923,94.6008368745,96335,5.39916312551,20.66,8.15,10.94,16.51,25.14,36.61
2003,DE,Delaware,"8,18,003",415161,397472,95.7392433297,17689,4.2607566703,18.04,7.44,9.66,14.28,21.86,32.78
2003,FL,Florida,"1,70,04,085",8210700,7783152,94.7927947678,427548,5.2072052322,15.64,6.59,8.36,11.97,18.51,27.75
2003,GA,Georgia,"86,22,793",4394454,4182530,95.1774668707,211924,4.82253312926,16.77,6.75,8.81,12.97,20.30,30.15
2003,HI,Hawaii,"12,51,154",603124,578324,95.8880760839,24800,4.11192391614,17.14,7.14,9.52,13.78,20.98,30.61
2003,ID,Idaho,"13,63,380",690013,651338,94.3950331371,38675,5.60496686294,15.17,6.67,8.54,12.15,18.72,26.54
2003,IL,Illinois,"1,25,56,006",6300230,5874613,93.2444212354,425617,6.75557876458,17.95,6.80,9.20,14.08,22.31,33.03
2003,IN,Indiana,"61,96,638",3182994,3014660,94.7114572004,168334,5.28854279964,15.90,6.95,9.06,12.88,19.52,27.50
2003,IA,Iowa,"29,41,999",1606799,1534492,95.4999349639,72307,4.50006503614,14.88,6.66,8.62,12.22,17.85,25.46
2003,KS,Kansas,"27,23,004",1437030,1357866,94.4911379721,79164,5.50886202793,15.85,6.84,8.75,12.55,19.36,27.92
2003,KY,Kentucky,"41,17,170",1960055,1839883,93.868947555,120172,6.13105244496,15.15,6.69,8.58,12.14,18.26,26.54
2003,LA,Louisiana,"45,21,042",2018325,1888975,93.5912204427,129350,6.40877955731,14.62,6.20,7.54,11.50,18.00,26.19
2003,ME,Maine,"13,06,513",683548,649576,95.0300490968,33972,4.96995090323,15.56,7.31,9.21,12.65,18.57,26.41
2003,MD,Maryland,"54,96,269",2882221,2754524,95.5694931097,127697,4.43050689035,19.07,7.33,9.95,15.23,23.66,35.71
2003,MA,Massachusetts,"64,22,565",3422415,3226984,94.2896755654,195431,5.71032443465,20.59,8.33,10.85,16.33,25.23,37.13
2003,MI,Michigan,"1,00,41,152",5027861,4667104,92.8248414186,360757,7.17515858135,18.32,7.27,9.68,14.48,23.28,33.28
2003,MN,Minnesota,"50,53,572",2874672,2734291,95.1166254794,140381,4.88337452064,18.34,7.56,10.12,14.86,22.26,32.38
2003,MS,Mississippi,"28,68,312",1301252,1219143,93.6900000922,82109,6.30999990778,13.13,6.22,7.60,10.73,15.65,22.29
2003,MO,Missouri,"57,09,403",3020820,2850982,94.3777517363,169838,5.62224826372,16.23,6.87,8.76,12.68,19.68,28.60
2003,MT,Montana,"9,19,630",471492,449267,95.2862402756,22225,4.71375972445,13.93,6.43,8.00,11.31,17.16,24.43
2003,NE,Nebraska,"17,38,643",964271,926317,96.0639695687,37954,3.93603043128,15.23,6.91,8.76,12.12,18.23,26.62
2003,NV,Nevada,"22,48,850",1147043,1088790,94.9214632756,58253,5.07853672443,16.23,6.90,9.14,12.99,19.71,28.23
2003,NH,New Hampshire,"12,79,840",707521,677030,95.6904459373,30491,4.30955406271,17.19,7.62,9.76,13.60,20.32,29.65
2003,NJ,New Jersey,"86,01,402",4347155,4093688,94.1693590406,253467,5.83064095943,19.72,7.29,9.98,15.60,24.59,36.89
